step,loss,action_loss,temporal_loss,moving_avg,ratio,episode_indices,frame_indices,episode_paths
1112,0.431537,0.416720,0.014817,0.039355,10.97,"[312, 312, 312, 312, 312, 312, 312, 312, 312, 312, 312, 312, 312, 312, 312, 312]","[24, 29, 34, 39, 44, 49, 54, 59, 64, 69, 74, 79, 84, 89, 94, 99]",[312] episode_20260107_172354.h5
1559,1.568072,1.391133,0.176939,0.138987,11.28,"[433, 433, 433, 433, 433, 433, 433, 433, 433, 433, 433, 433, 433, 433, 433, 433]","[158, 163, 168, 173, 178, 183, 188, 193, 198, 203, 208, 213, 218, 223, 228, 233]",[433] episode_20260108_141817.h5
1565,1.841606,1.668039,0.173567,0.160604,11.47,"[434, 434, 434, 434, 434, 434, 434, 434, 434, 434, 434, 434, 434, 434, 434, 434]","[200, 205, 210, 215, 220, 225, 230, 235, 240, 245, 250, 255, 260, 265, 270, 275]",[434] episode_20260108_142103.h5
1585,2.991699,2.793392,0.198307,0.237567,12.59,"[437, 437, 437, 437, 437, 437, 437, 437, 437, 437, 437, 437, 437, 437, 437, 437]","[303, 308, 313, 318, 323, 328, 333, 338, 343, 348, 353, 358, 363, 368, 373, 378]",[437] episode_20260108_142545.h5
3449,4.035754,4.005184,0.030569,0.155040,26.03,"[912, 912, 912, 912, 912, 912, 912, 912, 912, 912, 912, 912, 912, 912, 912, 912]","[130, 135, 140, 145, 150, 155, 160, 165, 170, 175, 180, 185, 190, 195, 200, 205]",[912] episode_20260120_101438.h5
4569,0.504875,0.490057,0.014817,0.038152,13.23,"[312, 312, 312, 312, 312, 312, 312, 312, 312, 312, 312, 312, 312, 312, 312, 312]","[24, 29, 34, 39, 44, 49, 54, 59, 64, 69, 74, 79, 84, 89, 94, 99]",[312] episode_20260107_172354.h5
5005,1.283843,1.160690,0.123153,0.110130,11.66,"[431, 431, 431, 431, 431, 431, 431, 431, 431, 431, 431, 431, 431, 431, 431, 431]","[209, 214, 219, 224, 229, 234, 239, 244, 249, 254, 259, 264, 269, 274, 279, 284]",[431] episode_20260108_141436.h5
5042,2.847389,2.649083,0.198307,0.195631,14.55,"[437, 437, 437, 437, 437, 437, 437, 437, 437, 437, 437, 437, 437, 437, 437, 437]","[303, 308, 313, 318, 323, 328, 333, 338, 343, 348, 353, 358, 363, 368, 373, 378]",[437] episode_20260108_142545.h5
6905,1.176321,1.151926,0.024394,0.112455,10.46,"[912, 912, 912, 912, 912, 912, 912, 912, 912, 912, 912, 912, 912, 912, 912, 912]","[50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100, 105, 110, 115, 120, 125]",[912] episode_20260120_101438.h5
6906,8.408271,8.377702,0.030569,0.195450,43.02,"[912, 912, 912, 912, 912, 912, 912, 912, 912, 912, 912, 912, 912, 912, 912, 912]","[130, 135, 140, 145, 150, 155, 160, 165, 170, 175, 180, 185, 190, 195, 200, 205]",[912] episode_20260120_101438.h5
8026,0.436029,0.421211,0.014817,0.036917,11.81,"[312, 312, 312, 312, 312, 312, 312, 312, 312, 312, 312, 312, 312, 312, 312, 312]","[24, 29, 34, 39, 44, 49, 54, 59, 64, 69, 74, 79, 84, 89, 94, 99]",[312] episode_20260107_172354.h5
8473,1.730594,1.553656,0.176939,0.134378,12.88,"[433, 433, 433, 433, 433, 433, 433, 433, 433, 433, 433, 433, 433, 433, 433, 433]","[158, 163, 168, 173, 178, 183, 188, 193, 198, 203, 208, 213, 218, 223, 228, 233]",[433] episode_20260108_141817.h5
8499,2.919324,2.721018,0.198307,0.205284,14.22,"[437, 437, 437, 437, 437, 437, 437, 437, 437, 437, 437, 437, 437, 437, 437, 437]","[303, 308, 313, 318, 323, 328, 333, 338, 343, 348, 353, 358, 363, 368, 373, 378]",[437] episode_20260108_142545.h5
10363,8.391269,8.360700,0.030569,0.190469,44.06,"[912, 912, 912, 912, 912, 912, 912, 912, 912, 912, 912, 912, 912, 912, 912, 912]","[130, 135, 140, 145, 150, 155, 160, 165, 170, 175, 180, 185, 190, 195, 200, 205]",[912] episode_20260120_101438.h5
11483,0.439441,0.424624,0.014817,0.035544,12.36,"[312, 312, 312, 312, 312, 312, 312, 312, 312, 312, 312, 312, 312, 312, 312, 312]","[24, 29, 34, 39, 44, 49, 54, 59, 64, 69, 74, 79, 84, 89, 94, 99]",[312] episode_20260107_172354.h5
11925,1.319867,1.197507,0.122360,0.120944,10.91,"[432, 432, 432, 432, 432, 432, 432, 432, 432, 432, 432, 432, 432, 432, 432, 432]","[184, 189, 194, 199, 204, 209, 214, 219, 224, 229, 234, 239, 244, 249, 254, 259]",[432] episode_20260108_141731.h5
11956,2.733860,2.535553,0.198307,0.194852,14.03,"[437, 437, 437, 437, 437, 437, 437, 437, 437, 437, 437, 437, 437, 437, 437, 437]","[303, 308, 313, 318, 323, 328, 333, 338, 343, 348, 353, 358, 363, 368, 373, 378]",[437] episode_20260108_142545.h5
13819,2.322926,2.298532,0.024394,0.119848,19.38,"[912, 912, 912, 912, 912, 912, 912, 912, 912, 912, 912, 912, 912, 912, 912, 912]","[50, 55, 60, 65, 70, 75, 80, 85, 90, 95, 100, 105, 110, 115, 120, 125]",[912] episode_20260120_101438.h5
